"","dataset","model","type","time_user","time_system","time_elapsed","mae","mape","mase","mpe","rmse","rsq"
"1","air","fable_arima_timeseries.dcf","timeseries",0.879000000000001,0.0819999999999999,1.50800000000004,1.05323315322649,72.6964642612351,1.75669371033811,-21.3830423287837,1.51163533894953,0.0342209577059482
"2","air","fable_ets_timeseries.dcf","timeseries",3.18,0.0330000000000004,3.21400000000006,0.979996880300479,62.8181986548618,1.63454250419386,11.9258270158385,1.31991549878612,0.401075088269984
"3","air","fable_mean_timeseries.dcf","timeseries",0.00900000000000034,0,0.00899999999990087,1.07024637385704,112.614056967462,1.78507016011347,-88.6301226335806,1.37553562987703,NA
"4","air","fable_naive_timeseries.dcf","timeseries",0.0100000000000016,0.00100000000000033,0.0099999999999909,1.07403560830861,71.6408721764344,1.79139024632389,-17.4720458979081,1.54297008284602,NA
"5","air","fable_prophet_timeseries.dcf","timeseries",0.427,0.0289999999999999,0.549999999999955,13.8544252625895,1119.1862518396,23.107876584195,1119.1862518396,16.2141972672911,0.0274344098926272
"6","air","fable_tslm_timeseries.dcf","timeseries",0.0130000000000017,0,0.0130000000000337,0.787920395665826,63.3295951838747,1.31417701681066,-25.8187526344841,1.1098582198577,0.437004126213177
"7","air","prophet_timeseries.dcf","timeseries",0.215999999999998,0.00100000000000033,0.218000000000075,0.826246603716403,61.8988985193947,1.37810152243157,-12.937413885223,1.153543894464,0.413032935938232
"8","appliances_energy","fable_arima_timeseries.dcf","timeseries",8.339,0.303,8.63600000000008,49.9425805992075,58.6433994206325,1.4628920474571,-38.7985786956673,71.3312090572455,0.0255244460406989
"9","appliances_energy","fable_ets_timeseries.dcf","timeseries",3.762,0.0149999999999997,3.77599999999995,75.0788501021184,96.1410500133576,2.19917055604363,-88.5737938959766,97.0082550199213,0.185327091108705
"10","appliances_energy","fable_mean_timeseries.dcf","timeseries",0.00799999999999557,0,0.00899999999990087,50.1853579820339,58.7938950245133,1.47000335605146,-38.68434648842,71.8302395532564,NA
"11","appliances_energy","fable_naive_timeseries.dcf","timeseries",0.00900000000000034,0,0.00900000000001455,57.3319824383654,74.6475033692197,1.67933855575268,-59.1147242224866,73.9497746925561,NA
"12","appliances_energy","fable_prophet_timeseries.dcf","timeseries",0.0910000000000011,0.00199999999999978,0.0929999999999609,57.2219861012337,72.4876540660142,1.67611660036094,-62.2776012004227,72.9151991566189,0.192885105415091
"13","appliances_energy","fable_tslm_timeseries.dcf","timeseries",0.0129999999999981,0,0.0120000000000573,41.9426438582252,44.5596307931341,1.22856206894717,-24.7311822183089,64.7263536548323,0.207115573390981
"14","appliances_energy","prophet_timeseries.dcf","timeseries",0.136000000000003,0.00100000000000033,0.137000000000057,44.5410372813526,49.6262847739308,1.30467285515909,-31.932226090501,65.6406095497174,0.198961530880833
"15","canadian_gas","fable_arima_timeseries.dcf","timeseries",0.414000000000001,0.0149999999999997,0.430000000000064,2.32053200901449,13.9436721239991,3.22243620689657,13.9015751719595,2.50325505636012,0.749243528855854
"16","canadian_gas","fable_ets_timeseries.dcf","timeseries",0.860999999999997,0.00599999999999934,0.866000000000099,1.51804267858354,9.00978080204409,2.10804921978188,-1.23388316336174,1.91300938815271,0.717738558738541
"17","canadian_gas","fable_mean_timeseries.dcf","timeseries",0.00799999999999557,0,0.0080000000000382,9.50856286158279,57.2435597611335,13.2041864200483,57.2435597611335,9.69642303505714,NA
"18","canadian_gas","fable_naive_timeseries.dcf","timeseries",0.00800000000000267,0,0.00900000000001455,5.77866441717792,34.1893540266973,8.02461563688033,34.1838556532609,6.08227579953889,NA
"19","canadian_gas","fable_prophet_timeseries.dcf","timeseries",0.0940000000000012,0,0.0939999999999372,1.18157935018176,7.24228561490975,1.64081515124804,6.15072541190972,1.36210441050125,0.814370452533662
"20","canadian_gas","fable_tslm_timeseries.dcf","timeseries",0.00900000000000034,0.00100000000000033,0.0099999999999909,2.74458370269729,16.4000749916179,3.8113009698091,16.3551678329823,2.90366610694259,0.762568443533896
"21","canadian_gas","prophet_timeseries.dcf","timeseries",0.0499999999999972,0.00100000000000033,0.0520000000000209,1.18658387403084,7.273938107373,1.64776474676618,6.19462392559063,1.36667678947847,0.814582253660647
"22","mars_weather","fable_arima_timeseries.dcf","timeseries",0.800999999999995,0.0349999999999993,0.836999999999989,11.7602510570145,Inf,3.89863902655951,Inf,14.4514412220596,0.00341130894449723
"23","mars_weather","fable_ets_timeseries.dcf","timeseries",0.234999999999999,0.00200000000000067,0.23599999999999,12.7209301388087,Inf,4.21711360181512,Inf,15.5125863183768,NA
"24","mars_weather","fable_mean_timeseries.dcf","timeseries",0.00800000000000267,0,0.0080000000000382,8.94928426310244,Inf,2.96677585527356,Inf,10.5221286119299,NA
"25","mars_weather","fable_naive_timeseries.dcf","timeseries",0.00900000000000034,0,0.0080000000000382,12.9719934102142,Inf,4.30034354846268,Inf,15.7875099215247,NA
"26","mars_weather","fable_prophet_timeseries.dcf","timeseries",0.397999999999996,0.00100000000000033,0.399000000000001,14.8840883500635,Inf,4.93422184909106,Inf,17.4053836690262,0.683964018514142
"27","mars_weather","fable_tslm_timeseries.dcf","timeseries",0.0100000000000051,0,0.0099999999999909,10.0316560187474,Inf,3.32559275019745,Inf,12.0868605793115,0.683136182344146
"28","mars_weather","prophet_timeseries.dcf","timeseries",0.370000000000005,0.000999999999999446,0.370999999999981,14.6642184082784,Inf,4.861332798368,Inf,17.1321578030519,0.682754364060894
"29","microsoft_stock_price","fable_arima_timeseries.dcf","timeseries",0.811999999999998,0.059000000000001,0.871999999999957,46.1302381331777,34.4618737326304,1.17489570827318,34.4003863637236,73.0350919698141,0.574586458633004
"30","microsoft_stock_price","fable_ets_timeseries.dcf","timeseries",3.098,0.0119999999999987,3.10900000000004,47.0004694207454,33.9975208964917,1.1970597170957,30.3539784224139,71.03686701186,0.576601908282273
"31","microsoft_stock_price","fable_mean_timeseries.dcf","timeseries",0.00799999999999557,0.000999999999999446,0.0080000000000382,73.0760710615962,50.7335228138737,1.86118185689542,8.31937232105477,90.0240840437959,NA
"32","microsoft_stock_price","fable_naive_timeseries.dcf","timeseries",0.00899999999998613,0.00100000000000122,0.00900000000001455,99.6444791322312,57.2153163542964,2.53785533357947,57.1088823631149,124.361448341795,NA
"33","microsoft_stock_price","fable_prophet_timeseries.dcf","timeseries",0.495000000000005,0.00500000000000078,0.5,43.80718942546,30.6901051957617,1.11572974539808,24.5179782443636,63.9590193911546,0.621011779370984
"34","microsoft_stock_price","fable_tslm_timeseries.dcf","timeseries",0.0120000000000005,0,0.0119999999999436,49.2752688928168,37.9960400372531,1.25499681530019,36.796130903013,74.5318739260534,0.581394296170945
"35","microsoft_stock_price","prophet_timeseries.dcf","timeseries",0.659999999999997,0.105,0.766000000000076,43.7426433330713,30.6024421343039,1.11408581443214,24.3636425423336,63.8352327267384,0.621504858498276
"36","natural_gas_prices","fable_arima_timeseries.dcf","timeseries",0.521999999999991,0.0149999999999988,0.537000000000035,0.386307474494273,20.4334235050942,3.17412299575817,-20.1989508840069,0.527723375147654,0.0126407234709578
"37","natural_gas_prices","fable_ets_timeseries.dcf","timeseries",1.26300000000001,0.00399999999999956,1.26800000000003,0.462483900793957,24.2200967455009,3.80003205115256,-24.1119355279531,0.598088453156842,0.0464100397231551
"38","natural_gas_prices","fable_mean_timeseries.dcf","timeseries",0.007000000000005,0.000999999999999446,0.00700000000006185,0.597537162879592,30.2668806912535,4.90970683909023,-30.2173247018546,0.663066817673992,NA
"39","natural_gas_prices","fable_naive_timeseries.dcf","timeseries",0.00800000000000978,0.000999999999999446,0.00900000000001455,0.551743697478992,28.076223107029,4.53344155513788,-27.9622866775071,0.620638563812109,NA
"40","natural_gas_prices","fable_prophet_timeseries.dcf","timeseries",0.177000000000007,0.00100000000000122,0.177999999999997,0.578213945269613,29.105435070284,4.75093623945799,-26.2979046346652,0.686446017555175,0.00893481761920648
"41","natural_gas_prices","fable_tslm_timeseries.dcf","timeseries",0.00900000000000034,0,0.00900000000001455,0.748695470152209,37.9535392741136,6.15170988275902,-37.9535392741136,0.887547171039273,0.024080096370843
"42","natural_gas_prices","prophet_timeseries.dcf","timeseries",0.11999999999999,0,0.120000000000005,0.572351610654773,28.8031307762529,4.7027679477775,-25.8007316348358,0.678345058623734,0.00999763890748882
"43","sales","fable_arima_timeseries.dcf","timeseries",2.98100000000001,0.167999999999999,3.14700000000005,2584.73750041354,Inf,1.55258314240005,-Inf,3832.82002494501,0.00891327835495474
"44","sales","fable_ets_timeseries.dcf","timeseries",0.63600000000001,0.00600000000000023,0.640999999999963,1670.52372430221,Inf,1.00343921690926,-Inf,3018.81874157862,0.385837495226921
"45","sales","fable_mean_timeseries.dcf","timeseries",0.00799999999999557,0,0.0080000000000382,2615.32329449319,Inf,1.57095521626727,-Inf,3848.15923687928,NA
"46","sales","fable_naive_timeseries.dcf","timeseries",0.00900000000000034,0,0.0099999999999909,1987.69780040733,NA,1.19395725740209,NA,4325.49661206241,NA
"47","sales","fable_prophet_timeseries.dcf","timeseries",0.0739999999999981,0,0.0749999999999318,3318.27836085026,Inf,1.99320164775832,NA,4558.09292607816,0.259347542620446
"48","sales","fable_tslm_timeseries.dcf","timeseries",0.0109999999999957,0,0.0109999999999673,1855.94953559103,Inf,1.11481957515717,-Inf,3032.98239660273,0.392389836238874
"49","sales","prophet_timeseries.dcf","timeseries",0.0769999999999982,0.00100000000000122,0.0769999999999982,2089.03026562675,Inf,1.25482497694898,NA,2943.43089510749,0.463000740950596
"50","seattle_weather","fable_arima_timeseries.dcf","timeseries",0.183999999999997,0.011000000000001,0.194000000000074,6.70779703875805,63.0502709674865,3.07838967202014,-49.4190967279032,7.78222596367517,0.000944514016766101
"51","seattle_weather","fable_ets_timeseries.dcf","timeseries",0.349999999999994,0.00300000000000011,0.351999999999975,6.57841480593088,61.1869069501352,3.01901266240332,-46.5654330102869,7.66112763149355,0.000211600488973933
"52","seattle_weather","fable_mean_timeseries.dcf","timeseries",0.007000000000005,0,0.00699999999994816,5.90213057607354,49.495104918336,2.70864751919552,-26.9188533253073,7.20761468508748,NA
"53","seattle_weather","fable_naive_timeseries.dcf","timeseries",0.00900000000000034,0,0.00900000000001455,6.72300683371298,63.2596132172597,3.0853698587241,-49.7221246443588,7.79758154201211,NA
"54","seattle_weather","fable_prophet_timeseries.dcf","timeseries",0.0919999999999987,0,0.0929999999999609,3.06619113927945,24.8710662300678,1.40715812971962,-9.93290233763543,3.82645721004253,0.721914705782784
"55","seattle_weather","fable_tslm_timeseries.dcf","timeseries",0.0100000000000051,0,0.0099999999999909,7.37381905695969,72.464872119136,3.38404520845384,-63.4455045071156,8.55472191379898,0.0369393594526602
"56","seattle_weather","prophet_timeseries.dcf","timeseries",0.0810000000000031,0.000999999999999446,0.0820000000001073,3.06399569144198,24.8608763388054,1.40615057926612,-9.92483986032736,3.82126803556677,0.722578555035642
"57","sp500","fable_arima_timeseries.dcf","timeseries",0.166000000000011,0.00399999999999956,0.169999999999959,340.803552607068,14.4829712990303,7.93894141242266,14.4829712990303,419.466206930393,0.0556378013242212
"58","sp500","fable_ets_timeseries.dcf","timeseries",0.510000000000005,0.00399999999999956,0.51400000000001,304.859178517547,12.8503852208134,7.1016253756033,12.8503852208134,388.925620132456,0.208111448772406
"59","sp500","fable_mean_timeseries.dcf","timeseries",0.00799999999999557,0,0.0080000000000382,896.385788288288,39.9648856003384,20.8811035029141,39.9648856003384,929.146671834981,NA
"60","sp500","fable_naive_timeseries.dcf","timeseries",0.00799999999999557,0,0.00900000000001455,341.070833333333,14.4952167439072,7.9451676562815,14.4952167439072,419.684845672917,NA
"61","sp500","fable_prophet_timeseries.dcf","timeseries",0.0379999999999967,0,0.0389999999999873,150.865209896274,6.66915596401704,3.51437082558899,5.84490500748467,179.997643673874,0.769363046617208
"62","sp500","fable_tslm_timeseries.dcf","timeseries",0.00900000000000034,0,0.0099999999999909,669.235232804233,29.7273182884601,15.5896828648601,29.7273182884601,700.801043352003,0.702936716261818
"63","sp500","prophet_timeseries.dcf","timeseries",0.0189999999999912,0,0.0190000000000055,145.772272567568,6.43645589636237,3.3957320063618,5.6889955462387,174.342664837965,0.789775365045341
"64","tesla_stock_price","fable_arima_timeseries.dcf","timeseries",0.296000000000006,0.0150000000000006,0.310000000000059,16.4954063069605,5.44461356095536,0.832304058466913,-0.86285056154584,23.4380161541888,0.503246844926752
"65","tesla_stock_price","fable_ets_timeseries.dcf","timeseries",0.618000000000009,0.00599999999999845,0.624000000000024,16.3070423089324,5.36661671577297,0.82279982940396,-0.874783037761538,23.3263963264866,0.506499014080212
"66","tesla_stock_price","fable_mean_timeseries.dcf","timeseries",0.00799999999999557,0,0.00700000000006185,40.7123177274702,12.6441589587988,2.05420992024122,12.610839117758,52.4470467221944,NA
"67","tesla_stock_price","fable_naive_timeseries.dcf","timeseries",0.00900000000000034,0.000999999999999446,0.00900000000001455,37.5806060606061,11.581473617543,1.89619402892127,11.512333695475,49.9921851362488,NA
"68","tesla_stock_price","fable_prophet_timeseries.dcf","timeseries",0.145999999999987,0.000999999999999446,0.146000000000072,87.9861033958623,31.4119549893396,4.4394899757131,-30.9661423972594,101.984034694243,0.0364115026417243
"69","tesla_stock_price","fable_tslm_timeseries.dcf","timeseries",0.00900000000000034,0,0.00900000000001455,46.5254268999228,16.89815723451,2.34752032839419,-14.9596342399391,56.0305671952422,0.0721246765599364
"70","tesla_stock_price","prophet_timeseries.dcf","timeseries",0.102000000000004,0,0.102000000000089,88.0073134996997,31.4205950322847,4.44056016793364,-30.9862354280197,101.984439459155,0.0365560526819833
"71","traffic","fable_arima_timeseries.dcf","timeseries",2.598,0.105,2.70099999999991,552.836779273051,33.1134923736331,0.912357845697284,-22.4239067412607,1095.6598464393,0.752091759712947
"72","traffic","fable_ets_timeseries.dcf","timeseries",1.974,0.0120000000000005,1.98500000000001,862.825278642342,66.4331773163102,1.42393820735013,-63.7293995293958,1126.80753761301,0.799494837040795
"73","traffic","fable_mean_timeseries.dcf","timeseries",0.00799999999999557,0,0.00799999999992451,1687.05201363183,168.005763280227,2.78417644853579,-136.353843611148,1936.34928611154,NA
"74","traffic","fable_naive_timeseries.dcf","timeseries",0.00900000000000034,0,0.0100000000001046,3116.84054669704,352.787994063433,5.14378571249497,-352.694226792531,3663.98558246609,NA
"75","traffic","fable_prophet_timeseries.dcf","timeseries",0.0570000000000022,0,0.0569999999999027,2989.52155124352,217.068325988483,4.93366856985288,-216.158208779235,3511.00572258575,0.424202254003602
"76","traffic","fable_tslm_timeseries.dcf","timeseries",0.0109999999999957,0,0.0109999999999673,572.880273967582,29.106857248934,0.945436035002622,-12.8975623071969,866.165811427164,0.799983693315755
"77","traffic","prophet_timeseries.dcf","timeseries",0.102000000000004,0,0.101999999999975,597.339771476162,36.9876193051025,0.985802044086009,-6.95879741785223,808.812136108439,0.82629949540496
